,id,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to
10,1297321909449895937,1297321909449895937,1598140620000,2020-08-22,23:57:00,0,343702041,kgnsnews,KGNS News,Pennsylvania Rep. Dan Meuser tests positive for COVID-19  https://www.nbcnews.com/politics/congress/pennsylvania-rep-dan-meuser-tests-positive-covid-19-n1237785?utm_campaign=snd-autopilot …,en,[],['https://www.nbcnews.com/politics/congress/pennsylvania-rep-dan-meuser-tests-positive-covid-19-n1237785?utm_campaign=snd-autopilot'],[],0,0,0,[],[],https://twitter.com/KGNSnews/status/1297321909449895937,False,,0,"[{'user_id': '343702041', 'username': 'KGNSnews'}]"
11,1297321905721155586,1297321905721155586,1598140620000,2020-08-22,23:57:00,0,39044325,marknyt,Mark S. Getzfred,Drug Pitched to Trump for Covid-19 Comes From a Deadly Plant  https://www.nytimes.com/2020/08/20/health/covid-oleandrin-trump-mypillow.html?smid=tw-share …,en,[],['https://www.nytimes.com/2020/08/20/health/covid-oleandrin-trump-mypillow.html?smid=tw-share'],[],0,0,1,[],[],https://twitter.com/marknyt/status/1297321905721155586,False,,0,"[{'user_id': '39044325', 'username': 'marknyt'}]"
12,1297321829200084993,1297321829200084993,1598140601000,2020-08-22,23:56:41,0,43024351,sfgiants,SFGiants,"Day 2️⃣ of the Junior Giants Stretch Drive. Your contribution helps the @giantscommunity maintain Junior Giants at Home, a virtual program supporting children during COVID-19.

 http://www.sfgiants.com/stretchdrive  pic.twitter.com/20t4ZRKfzT",en,['giantscommunity'],['http://www.sfgiants.com/stretchdrive'],['https://pbs.twimg.com/media/EgEBmDgU4AEKZW3.jpg'],1,9,43,[],[],https://twitter.com/SFGiants/status/1297321829200084993,False,,0,"[{'user_id': '43024351', 'username': 'SFGiants'}, {'user_id': '41141150', 'username': 'giantscommunity'}]"
13,1297321724590030855,1297321724590030855,1598140576000,2020-08-22,23:56:16,0,189656471,bepryor,Brooke Pryor,"Injuries during practice: Spillane (finger), Smallwood  (shoulder), Kam Canaday (knee), Wormley (shoulder)

Tomlin said some people missed practice because they were involved in COVID procedures but aren't on the list right now.",en,[],[],[],0,7,12,[],[],https://twitter.com/bepryor/status/1297321724590030855,False,,0,"[{'user_id': '189656471', 'username': 'bepryor'}]"
14,1297321692600176642,1297321192353927168,1598140569000,2020-08-22,23:56:09,0,108650721,missi_matthews,Missi Matthews,Coach Tomlin said they exercised caution and held some players out of practice tonight due to covid reasons.,en,[],[],[],1,3,18,[],[],https://twitter.com/missi_matthews/status/1297321692600176642,False,,0,"[{'user_id': '108650721', 'username': 'missi_matthews'}]"
15,1297321649499516928,1297321649499516928,1598140558000,2020-08-22,23:55:58,0,147280772,cwilliamson44,Chris Williamson,The longer we don’t hear anything from the Mets about their latest COVID-19 tests the more anxious I get.  pic.twitter.com/r2hASVyzEl,en,[],[],[],0,0,2,[],[],https://twitter.com/CWilliamson44/status/1297321649499516928,False,,1,"[{'user_id': '147280772', 'username': 'CWilliamson44'}]"
16,1297321593597616128,1297321593597616128,1598140545000,2020-08-22,23:55:45,0,156749387,chek_news,CHEK News,Employee at Milestones in downtown Victoria tests positive for COVID-19  https://www.cheknews.ca/employee-at-milestones-in-downtown-victoria-tests-positive-for-covid-19-694303/ …,en,[],['https://www.cheknews.ca/employee-at-milestones-in-downtown-victoria-tests-positive-for-covid-19-694303/'],[],3,22,15,[],[],https://twitter.com/CHEK_News/status/1297321593597616128,False,,0,"[{'user_id': '156749387', 'username': 'CHEK_News'}]"
17,1297321569996476416,1297321569996476416,1598140540000,2020-08-22,23:55:40,0,23655688,ottawacitizen,Ottawa Citizen,How big gatherings spread COVID-19: German scientists stage concert experiment  https://ottawacitizen.com/pmn/entertainment-pmn/how-big-gatherings-spread-covid-19-german-scientists-stage-concert-experiment/wcm/8b848c47-6f7f-49e8-ae91-9072f6e89261?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1598116521 … pic.twitter.com/stmOvFpnd2,en,[],['https://ottawacitizen.com/pmn/entertainment-pmn/how-big-gatherings-spread-covid-19-german-scientists-stage-concert-experiment/wcm/8b848c47-6f7f-49e8-ae91-9072f6e89261?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1598116521'],['https://pbs.twimg.com/media/EgEDF5cWsAEsLde.jpg'],1,1,1,[],[],https://twitter.com/OttawaCitizen/status/1297321569996476416,False,,0,"[{'user_id': '23655688', 'username': 'OttawaCitizen'}]"
18,1297321514086408193,1297321514086408193,1598140526000,2020-08-22,23:55:26,0,900378331920703488,votezahra,Zahra Karinshak,"These unemployment rates for veterans & military souses are alarming - as are unemployment rates for all Georgians.  And yet, we still have no signs of true leadership at the top. As your Senator, I am working on COVID issues daily. Please let me know how I can help you. 🇺🇸🇺🇸  https://twitter.com/votezahra/status/1297319018643300353 …",en,[],['https://twitter.com/votezahra/status/1297319018643300353'],[],0,0,0,[],[],https://twitter.com/votezahra/status/1297321514086408193,False,https://twitter.com/votezahra/status/1297319018643300353,0,"[{'user_id': '900378331920703488', 'username': 'votezahra'}]"
19,1297321425565556737,1297321425565556737,1598140505000,2020-08-22,23:55:05,0,12413892,13newsnow,13News Now,Roanoke College removes 6 students due to party and COVID-19 cases  https://www.13newsnow.com/article/news/health/coronavirus/roanoke-college-removes-6-students-due-to-party-and-covid-19-cases/291-57cafd9b-0316-491b-8a89-4c0cec6fa5a8?utm_campaign=snd-autopilot …,en,[],['https://www.13newsnow.com/article/news/health/coronavirus/roanoke-college-removes-6-students-due-to-party-and-covid-19-cases/291-57cafd9b-0316-491b-8a89-4c0cec6fa5a8?utm_campaign=snd-autopilot'],[],0,2,3,[],[],https://twitter.com/13NewsNow/status/1297321425565556737,False,,0,"[{'user_id': '12413892', 'username': '13NewsNow'}]"
